"id","user_id","content","timestamp","roles"
"1","1","What are the available courses for guitar?","2024-03-17 10:57:07.000000","parent"
"2","1","How do I pay for my classes? ","2024-03-18 10:59:11.000000","parent"
"3","1","Is there a discount for group lessons","2024-03-06 11:01:10.000000","parent"
"5","1","I need help with my account. Can you assist me?","2024-03-13 11:03:51.000000","parent"
"6","1","Are there any holiday closures?","2024-03-06 11:01:10.000000","parent"
"7","1","Is there a dress code for classes or performances?","2024-03-12 11:04:51.000000","parent"
"8","1","Can I connect to a staff?","2024-03-16 11:01:35.000000","parent"
"9","1","How to inform attendance to the teacher?","2024-03-25 11:05:13.000000","parent"
"10","1","What should I do if I'm going to be late for my scheduled lesson?","2024-03-14 11:08:16.000000","parent"
"11","1","What are the available courses for guitar?","2024-03-17 10:57:07.000000","parent"
"12","1","How do I pay for my classes? ","2024-03-18 10:59:11.000000","parent"
"13","1","Is there a discount for group lessons","2024-03-06 11:01:10.000000","parent"
"14","1","Are there any prerequisites for specific courses?","2024-03-16 11:01:35.000000","parent"
"15","1","I need help with my account. Can you assist me?","2024-03-13 11:03:51.000000","parent"
"16","1","Are there any holiday closures?","2024-03-06 11:01:10.000000","parent"
"17","1","Is there a dress code for classes or performances?","2024-03-12 11:04:51.000000","parent"
"18","1","Can I connect to a staff?","2024-03-16 11:01:35.000000","parent"
"19","1","How to inform attendance to the teacher?","2024-03-25 11:05:13.000000","parent"
"20","1","What should I do if I'm going to be late for my scheduled lesson?","2024-03-14 11:08:16.000000","parent"
"21","1","What are your course offerings?","2024-03-18 08:36:06.553728","parent"
"22","1","I hate you","2024-03-18 08:40:36.311451","parent"
"23","1","i love you","2024-03-18 08:41:30.813723","parent"
"24","1","hello how are you","2024-03-18 08:45:08.255792","parent"
"25","1","Can I get support from the school staff?","2024-03-27 21:21:07.000000","parent"
"26","1","What instruments are available","2024-03-18 09:25:26.188979","parent"
"27","1","how can i know like what media or performance my child is involvin gin","2024-03-19 06:05:41.023504","parent"
"28","1","hi how can i do payments? where should i go to pay?sd","2024-03-19 06:07:01.180629","parent"
"29","1","can i know how attendances are jotted down by teacher of school","2024-03-19 06:21:56.975251","parent"
"30","1","can i know how attendances are jotted down by teacher of school","2024-03-19 06:21:58.759393","parent"
"31","1","but this system has that particular techniqque to take attendance right","2024-03-19 06:22:29.758530","parent"
"32","1","how to know teahcer","2024-03-19 06:23:47.844592","parent"
"33","1","may i know what teacher teaches guitar because i want to put my children to enrol into that course","2024-03-19 06:24:25.567378","parent"
"34","1","how can i know like what media or performance my child is involvin gin","2024-03-19 06:33:37.323552","parent"
"35","1","when will the next performance be? can i enroll? 4","2024-03-19 06:33:45.058792","parent"
"36","1","i want to enroll in the next performance that will be held since it is christmassssss","2024-03-19 06:34:20.238157","parent"
"37","1","i want to enroll in the next performance that will be held since it is christmassssss","2024-03-19 06:34:24.057090","parent"
"38","1","how to complete a certain book? rulesto move from one book to another?","2024-03-19 06:37:25.173035","parent"
"39","1","whats your name","2024-03-19 06:41:18.566381","parent"
"40","1","how to send if im not attending class","2024-03-19 06:42:00.267614","parent"
"41","1","how to navigate to send reason not attend class","2024-03-19 06:42:21.108716","parent"
"42","1","when is the next performance","2024-03-19 06:43:04.758750","parent"
"43","1","where to update student info?","2024-03-19 06:43:23.311178","parent"
"44","1","help me to navigate to upload student info","2024-03-19 06:43:36.711333","parent"
"45","1","i mean update. is there a way i can update student info?","2024-03-19 06:43:51.075846","parent"
"46","1","can i chat to a staff?","2024-03-19 06:43:58.505643","parent"
"47","1","im not getting results that i want from here","2024-03-19 06:44:09.775842","parent"
"48","1","can i pay the bills all at once  even if there are 2 of my children enrolled here? i am quite old i dont know how to use this","2024-03-19 06:45:34.272758","parent"
"49","1","are you AI? when is the musci school opening?","2024-03-19 06:46:29.973457","parent"
"50","1","are you AI? when is the musci school opening?","2024-03-19 06:46:31.678239","parent"
"51","1","how can i know my current progress in a book?","2024-03-19 06:47:33.958564","parent"
"52","1","what can i do after completing student course? can i enroll for teacher course","2024-03-19 06:48:26.132794","parent"
